ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
659	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
660	81	1	1	0.000000	1.185185	1.185185	0.000000	0.000000	0	0	0
661	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
662	81	1	1	0.000000	1.049383	1.049383	0.000000	0.000000	0	0	0
663	28	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
664	16	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
665	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
666	81	1	1	0.000000	1.012346	1.012346	0.000000	0.000000	0	0	0
667	56	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
668	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
669	44	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
670	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
671	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
